MACHINE,NAME,VECTOR_SIZE,LOCALITY,OFFSET,RUNTIME_S
"cx23","No Prefetching",4000000000,-1,16,0.707844
"cx23","No Prefetching",4000000000,-1,16,0.706774
"cx23","No Prefetching",4000000000,-1,16,0.699073
"cx23","No Prefetching",4000000000,-1,16,0.764146
"cx23","No Prefetching",4000000000,-1,16,0.705095
"cx23","No Prefetching",4000000000,-1,16,0.906621
"cx23","No Prefetching",4000000000,-1,16,0.795924
"cx23","No Prefetching",4000000000,-1,16,0.753191
"cx23","No Prefetching",4000000000,-1,16,0.777935
"cx23","No Prefetching",4000000000,-1,16,0.740364
"cx23","No Prefetching",4000000000,-1,16,0.714343
"cx23","No Prefetching",4000000000,-1,16,0.709391
"cx23","No Prefetching",4000000000,-1,16,0.734436
"cx23","No Prefetching",4000000000,-1,16,0.701852
"cx23","No Prefetching",4000000000,-1,16,0.701635
"cx23","No Prefetching",4000000000,-1,16,0.701544
"cx23","No Prefetching",4000000000,-1,16,0.701018
"cx23","No Prefetching",4000000000,-1,16,0.700986
"cx23","No Prefetching",4000000000,-1,16,0.795021
"cx23","No Prefetching",4000000000,-1,16,0.703309
"cx23","No Prefetching",4000000000,-1,16,0.702783
"cx23","No Prefetching",4000000000,-1,16,0.701312
"cx23","No Prefetching",4000000000,-1,32,0.699112
"cx23","No Prefetching",4000000000,-1,32,0.733728
"cx23","No Prefetching",4000000000,-1,32,0.701976
"cx23","No Prefetching",4000000000,-1,32,0.702366
"cx23","No Prefetching",4000000000,-1,32,0.699627
"cx23","No Prefetching",4000000000,-1,32,0.701391
"cx23","No Prefetching",4000000000,-1,32,0.700963
"cx23","No Prefetching",4000000000,-1,32,0.701294
"cx23","No Prefetching",4000000000,-1,32,0.725261
"cx23","No Prefetching",4000000000,-1,32,0.698396
"cx23","No Prefetching",4000000000,-1,32,0.702025
"cx23","No Prefetching",4000000000,-1,32,0.69749
"cx23","No Prefetching",4000000000,-1,32,0.700613
"cx23","No Prefetching",4000000000,-1,32,0.697278
"cx23","No Prefetching",4000000000,-1,32,0.76222
"cx23","No Prefetching",4000000000,-1,32,0.702888
"cx23","No Prefetching",4000000000,-1,32,0.701602
